step,altitude,speed,distance,ata,aspect_angle,aileron,elevator,throttle
306,6004.95,361.31,2169.37,174.644,169.896,0.55,-0.9,0.8655
307,6006.68,362.21,2171.27,173.621,169.907,0.15,-0.9,0.8655
308,6008.42,362.7,2173.3,172.341,169.66,0.15,-0.9,0.8655
309,6009.96,363.3,2175.38,171.147,169.327,0.15,-0.9,0.8655
310,6011.05,363.47,2177.38,169.702,168.944,-0.25,-0.9,0.8655
311,6011.51,363.24,2179.03,167.959,168.234,-0.25,-0.9,0.8655
312,6011.38,363.19,2180.36,166.288,167.612,-0.25,-0.9,0.8655
313,6010.81,363.15,2181.4,164.621,167.6,-0.25,-0.9,0.8655
314,6009.97,363.12,2182.04,162.99,167.974,-0.25,-0.9,0.8655
315,6009.03,363.55,2182.31,161.69,168.465,0.15,-0.9,0.8655
316,6007.98,364.27,2182.35,160.555,169.141,0.15,-0.9,0.8655
317,6006.75,364.38,2182.06,159.022,169.915,-0.25,-0.9,0.8655
318,6005.41,364.13,2181.23,157.299,170.756,-0.25,-0.9,0.8655
319,6004.1,364.46,2179.9,155.995,171.651,0.15,-0.9,0.8655
320,6002.78,365.1,2178.17,154.857,172.866,0.15,-0.9,0.8655
321,6001.37,365.61,2175.99,153.591,174.138,0.15,-0.9,0.8655
322,5999.79,365.64,2173.29,151.992,174.746,-0.25,-0.9,0.8655
323,5998.06,365.31,2169.89,150.204,174.485,-0.25,-0.9,0.8655
324,5996.34,365.61,2165.91,148.845,173.534,0.15,-0.9,0.8655
325,5994.56,366.24,2161.6,147.687,172.622,0.15,-0.9,0.8655
326,5992.67,366.75,2156.81,146.454,171.986,0.15,-0.9,0.8655
327,5990.55,366.8,2151.42,144.942,171.555,-0.25,-0.9,0.8655
328,5988.22,366.51,2145.13,143.274,171.59,-0.25,-0.9,0.8655
329,5985.84,366.39,2137.85,141.808,172.0,-0.25,-0.9,0.8655
330,5983.61,366.77,2129.8,140.745,172.226,0.15,-0.9,0.8655
331,5981.47,366.18,2121.28,139.905,172.094,0.15,-0.9,0.4
332,5979.37,366.53,2112.3,138.954,171.868,0.15,-0.9,0.8655
333,5977.2,366.96,2102.85,137.999,171.623,0.15,-0.9,0.8655
